Pking_Entrez_geneID	Pking_gene_name	Pking_gene_symbol	type_of_gene
111842680	erythrocyte band 7 integral membrane protein-like	LOC111842680	protein-coding
111842681	cip1-interacting zinc finger protein-like	LOC111842681	protein-coding
111842684	protein FAM168A-like	LOC111842684	protein-coding
111842685	gelsolin-like	LOC111842685	protein-coding
111842686	ras-related protein Rab-14	LOC111842686	protein-coding
111842687	uncharacterized LOC111842687	LOC111842687	protein-coding
111842688	inactive phospholipid phosphatase 7-like	LOC111842688	protein-coding
111842689	protein FAM78A-like	LOC111842689	protein-coding
111842690	far upstream element-binding protein 3-like	LOC111842690	protein-coding
111842692	guanine nucleotide exchange factor VAV2-like	LOC111842692	protein-coding
111842693	G-protein-signaling modulator 1-like	LOC111842693	protein-coding
111842695	regulator of G-protein signaling 3-like	LOC111842695	protein-coding
111842696	collagen alpha-1(V) chain-like	LOC111842696	protein-coding
111842697	uncharacterized LOC111842697	LOC111842697	ncRNA
111842698	surfeit locus protein 4-like	LOC111842698	protein-coding
111842699	pappalysin-1-like	LOC111842699	protein-coding
111842701	LIM/homeobox protein Lhx3-like	LOC111842701	protein-coding
111842702	PR domain zinc finger protein 12-like	LOC111842702	protein-coding
111842703	uncharacterized LOC111842703	LOC111842703	ncRNA
111842704	adenylate kinase isoenzyme 5-like	LOC111842704	protein-coding
111842706	astrotactin-2-like	LOC111842706	protein-coding
111842708	uncharacterized LOC111842708	LOC111842708	ncRNA
111842710	CMRF35-like molecule 3	LOC111842710	protein-coding
111842711	uncharacterized LOC111842711	LOC111842711	protein-coding
111842712	cholinephosphotransferase 1-like	LOC111842712	protein-coding
111842713	protocadherin-20-like	LOC111842713	protein-coding
111842715	tubby protein homolog	LOC111842715	protein-coding
111842716	uncharacterized LOC111842716	LOC111842716	ncRNA
111842719	interferon-induced very large GTPase 1-like	LOC111842719	protein-coding
111842720	prostaglandin D2 receptor 2-like	LOC111842720	protein-coding
111842721	calcium-binding protein 2-like	LOC111842721	protein-coding
111842723	SLIT and NTRK-like protein 6	LOC111842723	protein-coding
111842725	uncharacterized LOC111842725	LOC111842725	protein-coding
111842727	casein kinase II subunit beta	LOC111842727	protein-coding
111842728	class I histocompatibility antigen, F10 alpha chain-like	LOC111842728	protein-coding
111842729	major histocompatibility complex class I-related gene protein-like	LOC111842729	protein-coding
111842730	LIM/homeobox protein Awh-like	LOC111842730	protein-coding
111842731	histone H3-like centromeric protein A	LOC111842731	protein-coding
111842732	sclerostin domain-containing protein 1-like	LOC111842732	protein-coding
111842733	ankyrin repeat and MYND domain-containing protein 2-like	LOC111842733	protein-coding
111842734	uncharacterized LOC111842734	LOC111842734	ncRNA
111842738	protein RIC-3-like	LOC111842738	protein-coding
111842739	ras-related protein Rab-5A	LOC111842739	protein-coding
111842740	uncharacterized LOC111842740	LOC111842740	ncRNA
111842742	ADP-ribosylation factor-like protein 4A	LOC111842742	protein-coding
111842743	uncharacterized LOC111842743	LOC111842743	ncRNA
111842744	uncharacterized LOC111842744	LOC111842744	ncRNA
111842746	endonuclease/exonuclease/phosphatase family domain-containing protein 1-like	LOC111842746	protein-coding
111842747	septin-7	LOC111842747	protein-coding
111842749	uncharacterized LOC111842749	LOC111842749	ncRNA
111842751	uncharacterized LOC111842751	LOC111842751	ncRNA
111842753	uncharacterized LOC111842753	LOC111842753	ncRNA
111842755	large neutral amino acids transporter small subunit 4-like	LOC111842755	protein-coding
111842756	tumor necrosis factor-like	LOC111842756	protein-coding
111842757	uncharacterized LOC111842757	LOC111842757	ncRNA
111842758	protein PRRC2A-like	LOC111842758	protein-coding
111842762	transmembrane protein 268-like	LOC111842762	protein-coding
111842763	proline-rich transmembrane protein 1-like	LOC111842763	protein-coding
111842764	thrombospondin type-1 domain-containing protein 7A-like	LOC111842764	protein-coding
111842765	neurexophilin-1	LOC111842765	protein-coding
111842766	small nucleolar RNA SNORD58	LOC111842766	snoRNA
111842767	phosphatidylinositol transfer protein alpha isoform	LOC111842767	protein-coding
111842769	tetraspanin-13-like	LOC111842769	protein-coding
111842770	anterior gradient protein 2 homolog	LOC111842770	protein-coding
111842771	nuclear receptor subfamily 1 group D member 2-like	LOC111842771	protein-coding
111842773	vitamin D 25-hydroxylase	LOC111842773	protein-coding
111842774	uncharacterized LOC111842774	LOC111842774	ncRNA
111842776	regulator of G-protein signaling 1-like	LOC111842776	protein-coding
111842783	inactive phospholipase C-like protein 2	LOC111842783	protein-coding
111842785	glucocorticoid-induced transcript 1 protein-like	LOC111842785	protein-coding
111842788	cGMP-inhibited 3',5'-cyclic phosphodiesterase B-like	LOC111842788	protein-coding
111842796	small nucleolar RNA SNORA31	LOC111842796	snoRNA
111842797	uncharacterized LOC111842797	LOC111842797	ncRNA
111842799	transmembrane protein 106B-like	LOC111842799	protein-coding
111842800	basic salivary proline-rich protein 1-like	LOC111842800	protein-coding
111842805	tenascin-like	LOC111842805	protein-coding
111842806	uncharacterized protein K02A2.6-like	LOC111842806	protein-coding
111842808	uncharacterized LOC111842808	LOC111842808	protein-coding
111842809	proteasome subunit beta type-7-like	LOC111842809	protein-coding
111842810	sperm acrosome membrane-associated protein 4-like	LOC111842810	protein-coding
111842811	ubiquitin-conjugating enzyme E2 E2-like	LOC111842811	protein-coding
111842814	prostate stem cell antigen-like	LOC111842814	protein-coding
111842819	uncharacterized LOC111842819	LOC111842819	ncRNA
111842823	carnitine O-acetyltransferase-like	LOC111842823	protein-coding
111842824	uncharacterized LOC111842824	LOC111842824	ncRNA
111842825	ubiquitin-conjugating enzyme E2 E1-like	LOC111842825	protein-coding
111842827	uncharacterized LOC111842827	LOC111842827	ncRNA
111842829	SH3 domain-binding protein 5-like	LOC111842829	protein-coding
111842831	spliceosome RNA helicase DDX39B	LOC111842831	protein-coding
111842834	homeobox protein MOX-2-like	LOC111842834	protein-coding
111842835	zinc finger protein 385D-like	LOC111842835	protein-coding
111842838	uncharacterized LOC111842838	LOC111842838	ncRNA
111842839	lysosomal thioesterase PPT2-A-like	LOC111842839	protein-coding
111842840	uncharacterized LOC111842840	LOC111842840	ncRNA
111842844	small nucleolar RNA SNORA3/SNORA45 family	LOC111842844	snoRNA
111842845	small nucleolar RNA SNORA3/SNORA45 family	LOC111842845	snoRNA
111842847	immunoglobulin superfamily member 3-like	LOC111842847	protein-coding
111842848	SERTA domain-containing protein 2-like	LOC111842848	protein-coding
111842849	leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3	LOC111842849	protein-coding
111842850	serine/threonine-protein kinase MRCK beta-like	LOC111842850	protein-coding
111842851	UPF0676 protein C1494.01-like	LOC111842851	protein-coding
111842852	chromatin target of PRMT1 protein-like	LOC111842852	protein-coding
111842854	class I histocompatibility antigen, F10 alpha chain-like	LOC111842854	protein-coding
111842855	uncharacterized LOC111842855	LOC111842855	ncRNA
111842856	serine/arginine repetitive matrix protein 1	LOC111842856	protein-coding
111842857	uncharacterized LOC111842857	LOC111842857	ncRNA
111842858	uncharacterized LOC111842858	LOC111842858	ncRNA
111842860	uncharacterized LOC111842860	LOC111842860	ncRNA
111842861	carcinoembryonic antigen-related cell adhesion molecule 6-like	LOC111842861	protein-coding
111842862	uncharacterized protein K02A2.6-like	LOC111842862	protein-coding
111842864	protein FAM133-like	LOC111842864	protein-coding
111842865	piggyBac transposable element-derived protein 4-like	LOC111842865	protein-coding
111842866	piggyBac transposable element-derived protein 4-like	LOC111842866	protein-coding
111842867	keratin, type I cytoskeletal 18-like	LOC111842867	protein-coding
111842868	G-protein coupled bile acid receptor 1-like	LOC111842868	protein-coding
111842869	keratin, type II cytoskeletal 8-like	LOC111842869	protein-coding
111842870	tensin-like	LOC111842870	protein-coding
111842876	mitochondrial uncoupling protein 2-like	LOC111842876	protein-coding
111842880	growth/differentiation factor 8-like	LOC111842880	protein-coding
111842881	C-X-C chemokine receptor type 1-like	LOC111842881	protein-coding
111842884	inositol polyphosphate 5-phosphatase K-like	LOC111842884	protein-coding
111842885	ORM1-like protein 1	LOC111842885	protein-coding
111842886	NGFI-A-binding protein 1-like	LOC111842886	protein-coding
111842888	peroxisomal N(1)-acetyl-spermine/spermidine oxidase-like	LOC111842888	protein-coding
111842890	solute carrier family 40 member 1-like	LOC111842890	protein-coding
111842891	obscurin-like protein 1	LOC111842891	protein-coding
111842892	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like	LOC111842892	protein-coding
111842893	uncharacterized LOC111842893	LOC111842893	ncRNA
111842894	CAVP-target protein	LOC111842894	protein-coding
111842896	uncharacterized LOC111842896	LOC111842896	protein-coding
111842897	twist-related protein 2-like	LOC111842897	protein-coding
111842898	uncharacterized LOC111842898	LOC111842898	ncRNA
111842899	insulin-like growth factor-binding protein 2-A	LOC111842899	protein-coding
111842900	insulin-like growth factor-binding protein 5	LOC111842900	protein-coding
111842901	uncharacterized LOC111842901	LOC111842901	ncRNA
111842902	uncharacterized LOC111842902	LOC111842902	protein-coding
111842904	aryl hydrocarbon receptor-like	LOC111842904	protein-coding
111842905	uncharacterized LOC111842905	LOC111842905	ncRNA
111842906	integrin beta-2-like	LOC111842906	protein-coding
111842908	collagen alpha-1(XVIII) chain-like	LOC111842908	protein-coding
111842909	folate transporter 1-like	LOC111842909	protein-coding
111842910	gap junction gamma-1 protein-like	LOC111842910	protein-coding
111842911	zinc finger protein 665-like	LOC111842911	protein-coding
111842912	tricarboxylate transport protein, mitochondrial-like	LOC111842912	protein-coding
111842918	uncharacterized LOC111842918	LOC111842918	ncRNA
111842919	hypermethylated in cancer 1 protein-like	LOC111842919	protein-coding
111842920	zinc finger protein 574-like	LOC111842920	protein-coding
111842921	contactin-associated protein-like 5	LOC111842921	protein-coding
111842922	histone deacetylase 4-like	LOC111842922	protein-coding
111842923	cGMP-inhibited 3',5'-cyclic phosphodiesterase B-like	LOC111842923	protein-coding
111842924	uncharacterized LOC111842924	LOC111842924	ncRNA
111842927	glycophorin-C-like	LOC111842927	protein-coding
111842928	double-stranded RNA-specific editase 1-like	LOC111842928	protein-coding
111842929	anterior gradient protein 3-like	LOC111842929	protein-coding
111842933	protein ABHD15-like	LOC111842933	protein-coding
111842936	leucine-rich repeat-containing protein 15-like	LOC111842936	protein-coding
111842937	CMRF35-like molecule 7	LOC111842937	protein-coding
111842940	uncharacterized LOC111842940	LOC111842940	ncRNA
111842941	anion exchange protein 3-like	LOC111842941	protein-coding
111842944	uncharacterized LOC111842944	LOC111842944	ncRNA
111842947	uncharacterized LOC111842947	LOC111842947	ncRNA
111842948	signal transducer and activator of transcription 1-like	LOC111842948	protein-coding
111842949	mitochondrial uncoupling protein 2-like	LOC111842949	protein-coding
111842950	glutaminase kidney isoform, mitochondrial	LOC111842950	protein-coding
111842953	serine--pyruvate aminotransferase, mitochondrial-like	LOC111842953	protein-coding
111842954	allantoinase, mitochondrial-like	LOC111842954	protein-coding
111842956	G-protein coupled receptor 1-like	LOC111842956	protein-coding
111842957	uncharacterized LOC111842957	LOC111842957	protein-coding
111842958	ribonuclease inhibitor-like	LOC111842958	protein-coding
111842959	uncharacterized LOC111842959	LOC111842959	ncRNA
111842960	neoverrucotoxin subunit beta-like	LOC111842960	protein-coding
111842962	NACHT, LRR and PYD domains-containing protein 12-like	LOC111842962	protein-coding
111842963	uncharacterized LOC111842963	LOC111842963	protein-coding
111842964	uncharacterized LOC111842964	LOC111842964	protein-coding
111842965	uncharacterized LOC111842965	LOC111842965	protein-coding
111842968	thioredoxin domain-containing protein 6-like	LOC111842968	protein-coding
111842969	G2/M phase-specific E3 ubiquitin-protein ligase-like	LOC111842969	protein-coding
111842971	uncharacterized LOC111842971	LOC111842971	ncRNA
111842972	uncharacterized LOC111842972	LOC111842972	protein-coding
111842980	uncharacterized LOC111842980	LOC111842980	ncRNA
111842984	organic cation transporter protein-like	LOC111842984	protein-coding
111842985	probable G-protein coupled receptor 139	LOC111842985	protein-coding
111842986	uncharacterized LOC111842986	LOC111842986	ncRNA
111842987	uncharacterized LOC111842987	LOC111842987	ncRNA
111842989	5-hydroxytryptamine receptor 1B-like	LOC111842989	protein-coding
111842992	uncharacterized LOC111842992	LOC111842992	ncRNA
111842995	interphotoreceptor matrix proteoglycan 1-like	LOC111842995	protein-coding
111842996	calcitonin gene-related peptide-like	LOC111842996	protein-coding
111842997	unconventional myosin-VI-like	LOC111842997	protein-coding
111843010	uncharacterized LOC111843010	LOC111843010	protein-coding
111843012	uncharacterized LOC111843012	LOC111843012	ncRNA
111843013	uncharacterized LOC111843013	LOC111843013	ncRNA
111843014	uncharacterized LOC111843014	LOC111843014	ncRNA
111843018	calpain-5-like	LOC111843018	protein-coding
111843022	uncharacterized LOC111843022	LOC111843022	ncRNA
111843024	syntabulin-like	LOC111843024	protein-coding
111843029	uncharacterized LOC111843029	LOC111843029	ncRNA
111843030	meiosis-specific protein MEI4-like	LOC111843030	protein-coding
111843035	uncharacterized LOC111843035	LOC111843035	ncRNA
111843037	trace amine-associated receptor 7d-like	LOC111843037	protein-coding
111843038	trace amine-associated receptor 13c-like	LOC111843038	protein-coding
111843041	uncharacterized LOC111843041	LOC111843041	ncRNA
111843043	gamma-aminobutyric acid receptor subunit rho-2-like	LOC111843043	protein-coding
111843044	gamma-aminobutyric acid receptor subunit rho-1-like	LOC111843044	protein-coding
111843045	small nucleolar RNA SNORD15	LOC111843045	snoRNA
111843051	small nucleolar RNA SNORD49	LOC111843051	snoRNA
111843052	sentrin-specific protease 6-like	LOC111843052	protein-coding
111843056	uncharacterized LOC111843056	LOC111843056	ncRNA
111843057	small nucleolar RNA SNORA19	LOC111843057	snoRNA
111843059	uncharacterized LOC111843059	LOC111843059	protein-coding
111843062	small nucleolar RNA SNORD65	LOC111843062	snoRNA
111843064	small nucleolar RNA SNORD50	LOC111843064	snoRNA
111843065	ras GTPase-activating protein nGAP-like	LOC111843065	protein-coding
111843067	uncharacterized LOC111843067	LOC111843067	protein-coding
111843068	uncharacterized LOC111843068	LOC111843068	ncRNA
111843069	uncharacterized LOC111843069	LOC111843069	protein-coding
111843070	P cell-type agglutination protein map4-like	LOC111843070	protein-coding
111843071	uncharacterized LOC111843071	LOC111843071	ncRNA
111843072	uncharacterized LOC111843072	LOC111843072	protein-coding
111843074	interferon-induced very large GTPase 1-like	LOC111843074	protein-coding
111843075	uncharacterized LOC111843075	LOC111843075	protein-coding
111843076	uncharacterized LOC111843076	LOC111843076	ncRNA
111843077	uncharacterized LOC111843077	LOC111843077	ncRNA
111843079	uncharacterized LOC111843079	LOC111843079	ncRNA
111843080	uncharacterized LOC111843080	LOC111843080	protein-coding
111843084	piggyBac transposable element-derived protein 4-like	LOC111843084	protein-coding
111843087	uncharacterized LOC111843087	LOC111843087	protein-coding
111843088	NUAK family SNF1-like kinase 1	LOC111843088	protein-coding
111843089	non-muscle caldesmon-like	LOC111843089	protein-coding
111843090	uncharacterized LOC111843090	LOC111843090	ncRNA
111843093	uncharacterized LOC111843093	LOC111843093	ncRNA
111843096	troponin I, slow skeletal muscle-like	LOC111843096	protein-coding
111843098	troponin I, slow skeletal muscle-like	LOC111843098	protein-coding
111843099	uncharacterized LOC111843099	LOC111843099	ncRNA
111843100	structural maintenance of chromosomes protein 1B-like	LOC111843100	protein-coding
111843103	E3 ubiquitin/ISG15 ligase TRIM25-like	LOC111843103	protein-coding
111843105	uncharacterized LOC111843105	LOC111843105	ncRNA
111843106	uncharacterized LOC111843106	LOC111843106	ncRNA
111843107	bisphosphoglycerate mutase-like	LOC111843107	protein-coding
111843109	uncharacterized LOC111843109	LOC111843109	ncRNA
111843113	protein FAM111A-like	LOC111843113	protein-coding
111843114	protein FAM111A-like	LOC111843114	protein-coding
111843115	cleavage and polyadenylation specificity factor subunit 6	LOC111843115	protein-coding
111843116	fibroblast growth factor receptor substrate 2-like	LOC111843116	protein-coding
111843117	uncharacterized LOC111843117	LOC111843117	ncRNA
111843120	uncharacterized LOC111843120	LOC111843120	ncRNA
111843121	cyclin-dependent kinase inhibitor 1-like	LOC111843121	protein-coding
111843127	twinfilin-1-like	LOC111843127	protein-coding
111843129	sodium-coupled neutral amino acid transporter 4-like	LOC111843129	protein-coding
111843130	protein kinase C-binding protein NELL2-like	LOC111843130	protein-coding
111843133	exostosin-1b-like	LOC111843133	protein-coding
111843136	cathepsin E-A-like	LOC111843136	protein-coding
111843137	round spermatid basic protein 1-like protein	LOC111843137	protein-coding
111843141	carboxypeptidase A2-like	LOC111843141	protein-coding
111843142	cytochrome c oxidase subunit 4 isoform 1, mitochondrial	LOC111843142	protein-coding
111843145	suppressor APC domain-containing protein 2-like	LOC111843145	protein-coding
111843146	achaete-scute homolog 4-like	LOC111843146	protein-coding
111843147	uncharacterized LOC111843147	LOC111843147	ncRNA
111843148	uncharacterized LOC111843148	LOC111843148	ncRNA
111843150	transmembrane protein 178B-like	LOC111843150	protein-coding
111843151	haloacid dehalogenase-like hydrolase domain-containing 5	LOC111843151	protein-coding
111843152	sodium-coupled neutral amino acid transporter 2-like	LOC111843152	protein-coding
111843157	uncharacterized LOC111843157	LOC111843157	ncRNA
111843161	uncharacterized LOC111843161	LOC111843161	ncRNA
111843165	small integral membrane protein 30-like	LOC111843165	protein-coding
111843168	A disintegrin and metalloproteinase with thrombospondin motifs 20-like	LOC111843168	protein-coding
111843170	uncharacterized LOC111843170	LOC111843170	ncRNA
111843172	NACHT, LRR and PYD domains-containing protein 3-like	LOC111843172	protein-coding
111843173	uncharacterized LOC111843173	LOC111843173	ncRNA
111843174	uncharacterized LOC111843174	LOC111843174	protein-coding
111843175	uncharacterized LOC111843175	LOC111843175	protein-coding
111843176	uncharacterized LOC111843176	LOC111843176	protein-coding
111843177	uncharacterized LOC111843177	LOC111843177	ncRNA
111843178	uncharacterized LOC111843178	LOC111843178	ncRNA
111843179	uncharacterized LOC111843179	LOC111843179	ncRNA
111843180	uncharacterized LOC111843180	LOC111843180	ncRNA
111843181	SLIT and NTRK-like protein 5	LOC111843181	protein-coding
111843182	uncharacterized LOC111843182	LOC111843182	ncRNA
111843183	G2/M phase-specific E3 ubiquitin-protein ligase-like	LOC111843183	protein-coding
111843185	TNF receptor-associated factor 3-like	LOC111843185	protein-coding
111843186	uncharacterized LOC111843186	LOC111843186	protein-coding
111843187	uncharacterized LOC111843187	LOC111843187	protein-coding
111843188	ras-related protein Rab-3D-like	LOC111843188	protein-coding
111843189	voltage-dependent T-type calcium channel subunit alpha-1I-like	LOC111843189	protein-coding
111843192	THO complex subunit 4-like	LOC111843192	protein-coding
111843193	uncharacterized LOC111843193	LOC111843193	protein-coding
111843194	rho GDP-dissociation inhibitor 1-like	LOC111843194	protein-coding
111843195	mapk-regulated corepressor-interacting protein 1-like	LOC111843195	protein-coding
111843196	arf-GAP with dual PH domain-containing protein 1-like	LOC111843196	protein-coding
111843198	uncharacterized LOC111843198	LOC111843198	ncRNA
111843199	E3 SUMO-protein ligase CBX4-like	LOC111843199	protein-coding
111843200	voltage-dependent calcium channel gamma-4 subunit-like	LOC111843200	protein-coding
111843202	platelet endothelial cell adhesion molecule-like	LOC111843202	protein-coding
111843203	neuronal pentraxin-1-like	LOC111843203	protein-coding
111843205	tetratricopeptide repeat protein 39A-like	LOC111843205	protein-coding
111843206	glycerophosphodiester phosphodiesterase 1-like	LOC111843206	protein-coding
111843207	CREB-binding protein-like	LOC111843207	protein-coding
111843210	amine sulfotransferase-like	LOC111843210	protein-coding
111843211	voltage-dependent T-type calcium channel subunit alpha-1I-like	LOC111843211	protein-coding
111843212	MHC class II regulatory factor RFX1-like	LOC111843212	protein-coding
111843213	cytochrome P450 2K1-like	LOC111843213	protein-coding
111843214	cytochrome P450 2K1-like	LOC111843214	protein-coding
111843215	envoplakin-like	LOC111843215	protein-coding
111843216	cytoplasmic phosphatidylinositol transfer protein 1-like	LOC111843216	protein-coding
111843218	tetratricopeptide repeat protein 39A-like	LOC111843218	protein-coding
111843220	uncharacterized LOC111843220	LOC111843220	ncRNA
111843224	serotonin N-acetyltransferase-like	LOC111843224	protein-coding
111843225	protein kinase C alpha type-like	LOC111843225	protein-coding
111843226	voltage-dependent P/Q-type calcium channel subunit alpha-1A-like	LOC111843226	protein-coding
111843229	SUN domain-containing protein 1-like	LOC111843229	protein-coding
111843232	coronin-7-like	LOC111843232	protein-coding
111843233	adhesion G protein-coupled receptor E2-like	LOC111843233	protein-coding
111843236	centriolar coiled-coil protein of 110 kDa-like	LOC111843236	protein-coding
111843238	interleukin-12 receptor subunit beta-2-like	LOC111843238	protein-coding
111843240	follicle-stimulating hormone receptor-like	LOC111843240	protein-coding
111843242	nucleus accumbens-associated protein 1-like	LOC111843242	protein-coding
111843246	cytochrome P450 2K1-like	LOC111843246	protein-coding
111843248	zinc finger protein GLIS2-like	LOC111843248	protein-coding
111843249	dnaJ homolog subfamily A member 3, mitochondrial-like	LOC111843249	protein-coding
111843252	aldehyde dehydrogenase family 3 member B1-like	LOC111843252	protein-coding
111843253	venom prothrombin activator porpharin-D-like	LOC111843253	protein-coding
111843255	Na(+)/H(+) exchange regulatory cofactor NHE-RF2-like	LOC111843255	protein-coding
111843256	somatostatin receptor type 5-like	LOC111843256	protein-coding
111843257	G-protein coupled receptor family C group 5 member B-like	LOC111843257	protein-coding
111843258	probable G-protein coupled receptor 139	LOC111843258	protein-coding
111843259	uncharacterized LOC111843259	LOC111843259	protein-coding
111843262	brain-derived neurotrophic factor-like	LOC111843262	protein-coding
111843263	protein YIPF2-like	LOC111843263	protein-coding
111843264	myeloid-associated differentiation marker homolog	LOC111843264	protein-coding
111843267	immediate early response gene 2 protein-like	LOC111843267	protein-coding
111843268	nucleoside diphosphate kinase B	LOC111843268	protein-coding
111843269	relaxin-3-like	LOC111843269	protein-coding
111843270	transmembrane protein 100-like	LOC111843270	protein-coding
111843272	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5-like	LOC111843272	protein-coding
111843273	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12-like	LOC111843273	protein-coding
111843274	cytochrome P450 2K1-like	LOC111843274	protein-coding
111843276	uncharacterized LOC111843276	LOC111843276	ncRNA
111843277	uncharacterized LOC111843277	LOC111843277	ncRNA
111843278	uncharacterized LOC111843278	LOC111843278	ncRNA
111843279	uncharacterized LOC111843279	LOC111843279	ncRNA
111843282	erythropoietin receptor-like	LOC111843282	protein-coding
111843284	nucleosome-remodeling factor subunit BPTF-like	LOC111843284	protein-coding
111843285	E3 ubiquitin-protein ligase SMURF2-like	LOC111843285	protein-coding
111843286	importin subunit alpha-1-like	LOC111843286	protein-coding
111843287	protein phosphatase 1 regulatory subunit 27-like	LOC111843287	protein-coding
111843288	probable ATP-dependent RNA helicase DDX5	LOC111843288	protein-coding
111843290	tetraspanin-1-like	LOC111843290	protein-coding
111843291	voltage-dependent calcium channel gamma-1 subunit-like	LOC111843291	protein-coding
111843292	protein phosphatase 1 regulatory subunit 29-like	LOC111843292	protein-coding
111843293	transcription factor AP-4-like	LOC111843293	protein-coding
111843296	meteorin-like protein	LOC111843296	protein-coding
111843298	rab11 family-interacting protein 4A-like	LOC111843298	protein-coding
111843302	axin-2-like	LOC111843302	protein-coding
111843304	MAPK regulated corepressor interacting protein 2-like	LOC111843304	protein-coding
111843305	testis-expressed protein 2-like	LOC111843305	protein-coding
111843306	uncharacterized LOC111843306	LOC111843306	ncRNA
111843307	uncharacterized LOC111843307	LOC111843307	ncRNA
111843308	uncharacterized LOC111843308	LOC111843308	ncRNA
111843309	platelet-derived growth factor subunit A-like	LOC111843309	protein-coding
111843310	protein FAM83F-like	LOC111843310	protein-coding
111843311	somatostatin receptor type 5-like	LOC111843311	protein-coding
111843312	cytohesin-2-like	LOC111843312	protein-coding
111843313	leucine-rich repeat-containing G-protein coupled receptor 4-like	LOC111843313	protein-coding
111843314	growth factor receptor-bound protein 2-like	LOC111843314	protein-coding
111843315	ras-related C3 botulinum toxin substrate 2	LOC111843315	protein-coding
111843316	chromobox protein homolog 8-like	LOC111843316	protein-coding
111843317	small nucleolar RNA SNORA50	LOC111843317	snoRNA
111843318	small nucleolar RNA SNORD41	LOC111843318	snoRNA
111843319	small nucleolar RNA SNORD41	LOC111843319	snoRNA
111843320	small nucleolar RNA SNORD41	LOC111843320	snoRNA
111843323	myosin-binding protein C, cardiac-type-like	LOC111843323	protein-coding
111843324	coiled-coil domain-containing protein 47-like	LOC111843324	protein-coding
111843325	DDB1- and CUL4-associated factor 7-like	LOC111843325	protein-coding
111843326	uncharacterized LOC111843326	LOC111843326	protein-coding
111843328	uncharacterized LOC111843328	LOC111843328	protein-coding
111843329	uncharacterized LOC111843329	LOC111843329	ncRNA
111843330	uncharacterized LOC111843330	LOC111843330	protein-coding
111843331	uncharacterized LOC111843331	LOC111843331	protein-coding
111843332	uncharacterized LOC111843332	LOC111843332	protein-coding
111843333	nanos homolog 3-like	LOC111843333	protein-coding
111843335	pregnancy-specific beta-1-glycoprotein 2-like	LOC111843335	protein-coding
111843337	uncharacterized LOC111843337	LOC111843337	ncRNA
111843339	uncharacterized LOC111843339	LOC111843339	ncRNA
111843340	integrin alpha-V-like	LOC111843340	protein-coding
111843342	protein NLRC3-like	LOC111843342	protein-coding
111843343	endonuclease domain-containing 1 protein-like	LOC111843343	protein-coding
111843344	uncharacterized LOC111843344	LOC111843344	ncRNA
111843345	uncharacterized LOC111843345	LOC111843345	ncRNA
111843347	protein arginine N-methyltransferase 8-B	LOC111843347	protein-coding
111843349	uncharacterized LOC111843349	LOC111843349	ncRNA
111843350	uncharacterized LOC111843350	LOC111843350	ncRNA
111843352	MAP kinase-activating death domain protein-like	LOC111843352	protein-coding
111843354	potassium voltage-gated channel subfamily A member 1-like	LOC111843354	protein-coding
111843357	EF-hand calcium-binding domain-containing protein 4B-like	LOC111843357	protein-coding
111843358	protein phosphatase 1 regulatory subunit 3E-like	LOC111843358	protein-coding
111843359	transmembrane and TPR repeat-containing protein 2-like	LOC111843359	protein-coding
111843361	transcription factor PU.1-like	LOC111843361	protein-coding
111843362	T-cell surface glycoprotein CD4-like	LOC111843362	protein-coding
111843363	C-C motif chemokine 18-like	LOC111843363	protein-coding
111843364	NACHT, LRR and PYD domains-containing protein 3-like	LOC111843364	protein-coding
111843365	stonustoxin subunit beta-like	LOC111843365	protein-coding
111843366	uncharacterized LOC111843366	LOC111843366	ncRNA
111843367	piggyBac transposable element-derived protein 4-like	LOC111843367	protein-coding
111843368	ribonuclease inhibitor-like	LOC111843368	protein-coding
111843369	uncharacterized LOC111843369	LOC111843369	ncRNA
111843370	ribonuclease inhibitor-like	LOC111843370	protein-coding
111843371	uncharacterized LOC111843371	LOC111843371	ncRNA
111843372	NACHT, LRR and PYD domains-containing protein 4-like	LOC111843372	protein-coding
111843378	40S ribosomal protein S16	LOC111843378	protein-coding
111843379	uncharacterized LOC111843379	LOC111843379	ncRNA
111843380	cell cycle regulator of non-homologous end joining-like	LOC111843380	protein-coding
111843381	pleckstrin homology-like domain family A member 1	LOC111843381	protein-coding
111843382	transcription factor E2F7-like	LOC111843382	protein-coding
111843384	protein FAM180A-like	LOC111843384	protein-coding
111843386	TCDD-inducible poly [ADP-ribose] polymerase-like	LOC111843386	protein-coding
111843388	tubby-related protein 3-like	LOC111843388	protein-coding
111843389	uncharacterized LOC111843389	LOC111843389	ncRNA
111843390	uncharacterized LOC111843390	LOC111843390	ncRNA
111843393	uncharacterized LOC111843393	LOC111843393	ncRNA
111843394	copine-8-like	LOC111843394	protein-coding
111843395	fatty acyl-CoA reductase 1-like	LOC111843395	protein-coding
111843396	muscarinic acetylcholine receptor M2-like	LOC111843396	protein-coding
111843398	synaptotagmin-1-like	LOC111843398	protein-coding
111843399	uncharacterized LOC111843399	LOC111843399	protein-coding
111843400	uncharacterized LOC111843400	LOC111843400	ncRNA
