rev1	XM_023790310.1
LOC111837937	XM_023800410.1
LOC111837938	XM_023800411.1
LOC111837938	XM_023800412.1
LOC111837938	XM_023800413.1
LOC111837938	XM_023800414.1
LOC111837938	XM_023800415.1
LOC111837938	XM_023800416.1
LOC111837936	XM_023800417.1
LOC111837938	XM_023800418.1
LOC111837939	XM_023800419.1
LOC111837939	XM_023800420.1
LOC111837939	XM_023800421.1
LOC111837939	XM_023800422.1
bud13	XM_023800423.1
LOC111837942	XM_023800424.1
LOC111837942	XM_023800425.1
ddias	XM_023800426.1
LOC111837946	XM_023800427.1
dusp10	XM_023800428.1
timm10b	XM_023800429.1
timm10b	XM_023800430.1
LOC111837948	XM_023800431.1
nfrkb	XM_023800432.1
nfrkb	XM_023800433.1
nfrkb	XM_023800434.1
nfrkb	XM_023800435.1
LOC111837950	XM_023800436.1
aplp2	XM_023800437.1
aplp2	XM_023800438.1
aplp2	XM_023800439.1
aplp2	XM_023800440.1
brox	XM_023800441.1
aplp2	XM_023800442.1
chek1	XM_023800443.1
chek1	XM_023800444.1
tmem45b	XM_023800445.1
tmem45b	XM_023800446.1
tmem45b	XM_023800447.1
gng8	XM_023800448.1
LOC111837957	XM_023800449.1
brox	XM_023800450.1
LOC111837957	XM_023800451.1
lipt2	XM_023800452.1
LOC111837959	XM_023800453.1
LOC111837960	XM_023800454.1
LOC111837961	XM_023800455.1
LOC111837961	XM_023800456.1
LOC111837961	XM_023800457.1
brox	XM_023800458.1
arhgap42	XM_023800459.1
arhgap42	XM_023800460.1
trpc6	XM_023800461.1
LOC111837966	XM_023800462.1
LOC111837967	XM_023800463.1
LOC111837969	XM_023800464.1
fndc3a	XM_023800465.1
vsig10l2	XM_023800466.1
fam177b	XM_023800467.1
LOC111837973	XM_023800468.1
LOC111837974	XM_023800469.1
LOC111837975	XM_023800470.1
LOC111837976	XM_023800471.1
LOC111837977	XM_023800472.1
LOC111837978	XM_023800473.1
fam177b	XM_023800474.1
LOC111837979	XM_023800475.1
LOC111837980	XM_023800476.1
LOC111837980	XM_023800477.1
LOC111837980	XM_023800478.1
LOC111837980	XM_023800479.1
LOC111837980	XM_023800480.1
LOC111837980	XM_023800481.1
LOC111837980	XM_023800482.1
LOC111837980	XM_023800483.1
fam177b	XM_023800484.1
LOC111837980	XM_023800485.1
LOC111837980	XM_023800486.1
LOC111837980	XM_023800487.1
LOC111837980	XM_023800488.1
LOC111837980	XM_023800489.1
LOC111837980	XM_023800490.1
LOC111837982	XM_023800491.1
xrra1	XM_023800492.1
xrra1	XM_023800493.1
chrdl2	XM_023800494.1
chrdl2	XM_023800495.1
fndc4	XM_023800496.1
neu3	XM_023800497.1
neu3	XM_023800498.1
neu3	XM_023800499.1
wdr73	XM_023800500.1
wdr73	XM_023800501.1
spcs2	XM_023800502.1
axl	XM_023800503.1
axl	XM_023800504.1
fndc4	XM_023800505.1
LOC111837991	XM_023800506.1
hnrnpul1	XM_023800507.1
ocrl	XM_023800508.1
ocrl	XM_023800509.1
ocrl	XM_023800510.1
ocrl	XM_023800511.1
ocrl	XM_023800512.1
LOC111837994	XM_023800513.1
fndc4	XM_023800514.1
LOC111837995	XM_023800515.1
LOC111837995	XM_023800516.1
LOC111837995	XM_023800517.1
LOC111837995	XM_023800518.1
LOC111837996	XM_023800519.1
LOC111837996	XM_023800520.1
LOC111837996	XM_023800521.1
LOC111837996	XM_023800522.1
LOC111837996	XM_023800523.1
LOC111837996	XM_023800524.1
LOC111837996	XM_023800525.1
LOC111837996	XM_023800526.1
LOC111837998	XM_023800527.1
LOC111837998	XM_023800528.1
ebpl	XM_023800529.1
LOC111837997	XM_023800530.1
spaca6	XM_023800531.1
spaca6	XM_023800532.1
spaca6	XM_023800533.1
spaca6	XM_023800534.1
spaca6	XM_023800535.1
LOC111838000	XM_023800536.1
smpd1	XM_023800537.1
LOC111837997	XM_023800538.1
LOC111838003	XM_023800539.1
LOC111838004	XM_023800540.1
LOC111838004	XM_023800541.1
cfap300	XM_023800542.1
cfap300	XM_023800543.1
cfap300	XM_023800544.1
LOC111838006	XM_023800545.1
LOC111838007	XM_023800546.1
LOC111838007	XM_023800547.1
LOC111838007	XM_023800548.1
LOC111838007	XM_023800549.1
cul4b	XM_023800550.1
cul4b	XM_023800551.1
LOC111838010	XM_023800552.1
nfkbie	XM_023800553.1
arhgap31	XM_023800554.1
LOC111838013	XM_023800555.1
LOC111838014	XM_023800556.1
LOC111838014	XM_023800557.1
LOC111838015	XM_023800558.1
b9d2	XM_023800559.1
b9d2	XM_023800560.1
LOC111838017	XM_023800561.1
LOC111838017	XM_023800562.1
LOC111838017	XM_023800563.1
LOC111838017	XM_023800564.1
LOC111838019	XM_023800565.1
fkbp1b	XM_023800566.1
LOC111838019	XM_023800567.1
LOC111838019	XM_023800568.1
LOC111838021	XM_023800569.1
LOC111838021	XM_023800570.1
fkbp1b	XM_023800571.1
LOC111838022	XM_023800572.1
ttc36	XM_023800573.1
LOC111838024	XM_023800574.1
fbxo40	XM_023800575.1
fbxo40	XM_023800576.1
cdon	XM_023800577.1
cdon	XM_023800578.1
LOC111838029	XM_023800579.1
LOC111838030	XM_023800580.1
sycn	XM_023800581.1
mut	XM_023800582.1
LOC111838032	XM_023800583.1
zbtb20	XM_023800584.1
zbtb20	XM_023800585.1
zbtb20	XM_023800586.1
LOC111838034	XM_023800587.1
LOC111838034	XM_023800588.1
LOC111838034	XM_023800589.1
mut	XM_023800590.1
LOC111838034	XM_023800591.1
akap14	XM_023800592.1
akap14	XM_023800593.1
akap14	XM_023800594.1
rab30	XM_023800595.1
LOC111838037	XM_023800596.1
ube2a	XM_023800597.1
LOC111838041	XM_023800598.1
atp1b4	XM_023800599.1
atp1b4	XM_023800600.1
wdcp	XM_023800601.1
sympk	XM_023800602.1
LOC111838045	XM_023800603.1
LOC111838046	XM_023800604.1
ebpl	XM_023800605.1
LOC111838046	XM_023800606.1
LOC111838046	XM_023800607.1
LOC111838046	XM_023800608.1
LOC111838046	XM_023800609.1
LOC111838046	XM_023800610.1
LOC111838048	XM_023800611.1
LOC111838048	XM_023800612.1
LOC111838048	XM_023800613.1
LOC111838048	XM_023800614.1
LOC111838048	XM_023800615.1
LOC111838049	XM_023800616.1
b4galt4	XM_023800617.1
b4galt4	XM_023800618.1
LOC111838051	XM_023800619.1
LOC111838053	XM_023800620.1
LOC111838053	XM_023800621.1
LOC111838053	XM_023800622.1
mia3	XM_023800623.1
LOC111838054	XM_023800624.1
pgm2l1	XM_023800625.1
pgm2l1	XM_023800626.1
pcf11	XM_023800627.1
mia3	XM_023800628.1
pcf11	XM_023800629.1
alg8	XM_023800630.1
ccdc90b	XM_023800631.1
ccdc90b	XM_023800632.1
ndufc2	XM_023800633.1
LOC111838061	XM_023800634.1
LOC111838061	XM_023800635.1
LOC111838061	XM_023800636.1
mia3	XM_023800637.1
LOC111838062	XM_023800638.1
LOC111838062	XM_023800639.1
LOC111838063	XM_023800640.1
LOC111838064	XM_023800641.1
LOC111838065	XM_023800642.1
LOC111838065	XM_023800643.1
polq	XM_023800644.1
mia3	XM_023800645.1
polq	XM_023800646.1
LOC111838067	XM_023800647.1
LOC111838067	XM_023800648.1
LOC111838067	XM_023800649.1
rb1	XM_023800650.1
rb1	XM_023800651.1
LOC111838069	XM_023800652.1
ppp5c	XM_023800653.1
mia3	XM_023800654.1
usp35	XM_023800655.1
usp35	XM_023800656.1
usp35	XM_023800657.1
nars2	XM_023800658.1
nars2	XM_023800659.1
nars2	XM_023800660.1
LOC111838074	XM_023800661.1
mia3	XM_023800662.1
LOC111838075	XM_023800663.1
LOC111838075	XM_023800664.1
LOC111838075	XM_023800665.1
LOC111838075	XM_023800666.1
LOC111838076	XM_023800667.1
LOC111838076	XM_023800668.1
LOC111838076	XM_023800669.1
LOC111838076	XM_023800670.1
LOC111838078	XM_023800671.1
LOC111838079	XM_023800672.1
ptchd1	XM_023800673.1
ptchd1	XM_023800674.1
taf1a	XM_023800675.1
LOC111838081	XM_023800676.1
LOC111838081	XM_023800677.1
taf1a	XM_023800678.1
LOC111838083	XM_023800679.1
LOC111838084	XM_023800680.1
LOC111838084	XM_023800681.1
LOC111838084	XM_023800682.1
LOC111838085	XM_023800683.1
LOC111838085	XM_023800684.1
LOC111838087	XM_023800685.1
LOC111838087	XM_023800686.1
taf1a	XM_023800687.1
LOC111838088	XM_023800688.1
LOC111838088	XM_023800689.1
LOC111838090	XM_023800690.1
LOC111838090	XM_023800691.1
LOC111838090	XM_023800692.1
taf1a	XM_023800693.1
LOC111838091	XM_023800694.1
scfd1	XM_023800695.1
scfd1	XM_023800696.1
g2e3	XM_023800697.1
g2e3	XM_023800698.1
dpy30	XM_023800699.1
taf1a	XM_023800700.1
dpy30	XM_023800701.1
LOC111838096	XM_023800702.1
LOC111838096	XM_023800703.1
LOC111838097	XM_023800704.1
LOC111838098	XM_023800705.1
LOC111838099	XM_023800706.1
LOC111838099	XM_023800707.1
LOC111838102	XM_023800708.1
LOC111838102	XM_023800709.1
LOC111838103	XM_023800710.1
LOC111838104	XM_023800711.1
aida	XM_023800712.1
LOC111838104	XM_023800713.1
LOC111838105	XM_023800714.1
LOC111838105	XM_023800715.1
LOC111838105	XM_023800716.1
LOC111838105	XM_023800717.1
LOC111838105	XM_023800718.1
cdc42bpb	XM_023800719.1
cdc42bpb	XM_023800720.1
LOC111838086	XM_023800721.1
cdc42bpb	XM_023800722.1
cdc42bpb	XM_023800723.1
cdc42bpb	XM_023800724.1
LOC111838108	XM_023800725.1
pinx1	XM_023800726.1
LOC111838109	XM_023800727.1
LOC111838109	XM_023800728.1
LOC111838110	XM_023800729.1
LOC111838111	XM_023800730.1
LOC111838112	XM_023800731.1
LOC111838113	XM_023800732.1
LOC111838113	XM_023800733.1
LOC111838116	XM_023800734.1
LOC111838117	XM_023800735.1
LOC111838114	XM_023800736.1
LOC111838118	XM_023800737.1
LOC111838119	XM_023800738.1
chst7	XM_023800739.1
ddx3x	XM_023800740.1
ddx3x	XM_023800741.1
ddx3x	XM_023800742.1
ddx3x	XM_023800743.1
ddx3x	XM_023800744.1
ddx3x	XM_023800745.1
ddx3x	XM_023800746.1
ddx3x	XM_023800747.1
ddx3x	XM_023800748.1
ddx3x	XM_023800749.1
ddx3x	XM_023800750.1
LOC111838122	XM_023800751.1
ddx3x	XM_023800752.1
nyx	XM_023800753.1
nyx	XM_023800754.1
gabrb3	XM_023800755.1
gabrb3	XM_023800756.1
gabrb3	XM_023800757.1
gabrg3	XM_023800758.1
gabrg3	XM_023800759.1
gabrg3	XM_023800760.1
gabrg3	XM_023800761.1
LOC111838127	XM_023800762.1
LOC111838127	XM_023800763.1
LOC111838128	XM_023800764.1
LOC111838128	XM_023800765.1
LOC111838128	XM_023800766.1
LOC111838129	XM_023800767.1
LOC111838130	XM_023800768.1
slc19a2	XM_023800769.1
rpgr	XM_023800770.1
rpgr	XM_023800771.1
rpgr	XM_023800772.1
LOC111838134	XM_023800773.1
tmem131	XM_023800774.1
tmem131	XM_023800775.1
tmem131	XM_023800776.1
bivm	XM_023800777.1
bivm	XM_023800778.1
bivm	XM_023800779.1
bivm	XM_023800780.1
bivm	XM_023800781.1
bivm	XM_023800782.1
LOC111838138	XM_023800783.1
LOC111838138	XM_023800784.1
LOC111838138	XM_023800785.1
LOC111838138	XM_023800786.1
LOC111838138	XM_023800787.1
LOC111838138	XM_023800788.1
LOC111838138	XM_023800789.1
LOC111838140	XM_023800790.1
LOC111838140	XM_023800791.1
LOC111838140	XM_023800792.1
LOC111838140	XM_023800793.1
LOC111838140	XM_023800794.1
bmx	XM_023800795.1
bmx	XM_023800796.1
bmx	XM_023800797.1
bmx	XM_023800798.1
bmx	XM_023800799.1
LOC111838144	XM_023800800.1
LOC111838144	XM_023800801.1
LOC111838144	XM_023800802.1
tmem45a	XM_023800803.1
LOC111838086	XM_023800804.1
LOC111838145	XM_023800805.1
LOC111838148	XM_023800806.1
LOC111838148	XM_023800807.1
LOC111838148	XM_023800808.1
LOC111838149	XM_023800809.1
LOC111838149	XM_023800810.1
LOC111838149	XM_023800811.1
LOC111838149	XM_023800812.1
LOC111838149	XM_023800813.1
LOC111838149	XM_023800814.1
LOC111838145	XM_023800815.1
cyfip1	XM_023800816.1
cyfip1	XM_023800817.1
nipa2	XM_023800818.1
nipa2	XM_023800819.1
nipa2	XM_023800820.1
nipa2	XM_023800821.1
nipa2	XM_023800822.1
nipa1	XM_023800823.1
nipa1	XM_023800824.1
LOC111838145	XM_023800825.1
nipa1	XM_023800826.1
nipa1	XM_023800827.1
LOC111838154	XM_023800828.1
LOC111838155	XM_023800829.1
dcaf6	XM_023800830.1
cask	XM_023800831.1
oca2	XM_023800832.1
LOC111838145	XM_023800833.1
cunhxorf38	XM_023800834.1
cltrn	XM_023800835.1
fundc1	XM_023800836.1
ndp	XM_023800837.1
efhc2	XM_023800838.1
bend2	XM_023800839.1
LOC111838145	XM_023800840.1
bend2	XM_023800841.1
LOC111838166	XM_023800842.1
LOC111838166	XM_023800843.1
LOC111838166	XM_023800844.1
LOC111838166	XM_023800845.1
lancl3	XM_023800846.1
ccdc80	XM_023800847.1
csrnp3	XM_023800848.1
LOC111838145	XM_023800849.1
slc35a5	XM_023800850.1
slc35a5	XM_023800851.1
atg3	XM_023800852.1
LOC111838172	XM_023800853.1
cdkl5	XM_023800854.1
cdkl5	XM_023800855.1
cdkl5	XM_023800856.1
cdkl5	XM_023800857.1
cdkl5	XM_023800858.1
cdkl5	XM_023800859.1
cdkl5	XM_023800860.1
cdkl5	XM_023800861.1
rs1	XM_023800862.1
scml2	XM_023800863.1
scml2	XM_023800864.1
scml2	XM_023800865.1
scml2	XM_023800866.1
rai2	XM_023800867.1
LOC111838178	XM_023800868.1
LOC111838178	XM_023800869.1
LOC111838178	XM_023800870.1
LOC111838178	XM_023800871.1
LOC111838178	XM_023800872.1
LOC111838178	XM_023800873.1
LOC111838180	XM_023800874.1
LOC111838180	XM_023800875.1
LOC111838179	XM_023800876.1
LOC111838180	XM_023800877.1
slc9a7	XM_023800878.1
slc9a7	XM_023800879.1
slc9a7	XM_023800880.1
ube3a	XM_023800881.1
ube3a	XM_023800882.1
ube3a	XM_023800883.1
ube3a	XM_023800884.1
ube3a	XM_023800885.1
LOC111838179	XM_023800886.1
atp10a	XM_023800887.1
kdm6a	XM_023800888.1
chd1l	XM_023800889.1
LOC111838186	XM_023800890.1
LOC111838186	XM_023800891.1
LOC111838187	XM_023800892.1
LOC111838187	XM_023800893.1
LOC111838086	XM_023800894.1
LOC111838179	XM_023800895.1
LOC111838187	XM_023800896.1
LOC111838187	XM_023800897.1
LOC111838187	XM_023800898.1
wwc3	XM_023800899.1
piga	XM_023800900.1
piga	XM_023800901.1
LOC111838190	XM_023800902.1
LOC111838190	XM_023800903.1
LOC111838190	XM_023800904.1
LOC111838179	XM_023800905.1
LOC111838190	XM_023800906.1
LOC111838190	XM_023800907.1
LOC111838190	XM_023800908.1
LOC111838190	XM_023800909.1
LOC111838190	XM_023800910.1
LOC111838190	XM_023800911.1
vegfd	XM_023800912.1
vegfd	XM_023800913.1
pir	XM_023800914.1
LOC111838179	XM_023800915.1
pir	XM_023800916.1
pir	XM_023800917.1
pir	XM_023800918.1
pir	XM_023800919.1
pir	XM_023800920.1
pir	XM_023800921.1
pir	XM_023800922.1
pir	XM_023800923.1
pir	XM_023800924.1
pir	XM_023800925.1
gpr82	XM_023800926.1
gpr34	XM_023800927.1
LOC111838198	XM_023800928.1
LOC111838198	XM_023800929.1
LOC111838199	XM_023800930.1
dynlt3	XM_023800931.1
shroom2	XM_023800932.1
shroom2	XM_023800933.1
shroom2	XM_023800934.1
shroom2	XM_023800935.1
LOC111838203	XM_023800936.1
LOC111838203	XM_023800937.1
LOC111838202	XM_023800938.1
LOC111838203	XM_023800939.1
syap1	XM_023800940.1
LOC111838205	XM_023800941.1
dcbld2	XM_023800942.1
dcbld2	XM_023800943.1
bcor	XM_023800944.1
bcor	XM_023800945.1
bcor	XM_023800946.1
bcor	XM_023800947.1
bcor	XM_023800948.1
bcor	XM_023800949.1
LOC111838210	XM_023800950.1
LOC111838210	XM_023800951.1
LOC111838210	XM_023800952.1
LOC111838210	XM_023800953.1
LOC111838210	XM_023800954.1
LOC111838210	XM_023800955.1
LOC111838210	XM_023800956.1
LOC111838210	XM_023800957.1
LOC111838210	XM_023800958.1
LOC111838210	XM_023800959.1
LOC111838211	XM_023800960.1
jade3	XM_023800961.1
rp2	XM_023800962.1
tfg	XM_023800963.1
tfg	XM_023800964.1
tfg	XM_023800965.1
LOC111838215	XM_023800966.1
LOC111838215	XM_023800967.1
LOC111838216	XM_023800968.1
LOC111838216	XM_023800969.1
LOC111838216	XM_023800970.1
LOC111838216	XM_023800971.1
sytl5	XM_023800972.1
LOC111838217	XM_023800973.1
sytl5	XM_023800974.1
sytl5	XM_023800975.1
sytl5	XM_023800976.1
sytl5	XM_023800977.1
sytl5	XM_023800978.1
sytl5	XM_023800979.1
srpx	XM_023800980.1
srpx	XM_023800981.1
srpx	XM_023800982.1
srpx	XM_023800983.1
srpx	XM_023800984.1
srpx	XM_023800985.1
tomm70	XM_023800986.1
vwa3b	XM_023800987.1
gpat4	XM_023800988.1
vwa3b	XM_023800989.1
vwa3b	XM_023800990.1
vwa3b	XM_023800991.1
vwa3b	XM_023800992.1
LOC111838224	XM_023800993.1
LOC111838224	XM_023800994.1
atp1b1	XM_023800995.1
dpt	XM_023800996.1
gpat4	XM_023800997.1
gpr161	XM_023800998.1
gpr161	XM_023800999.1
gpr161	XM_023801000.1
LOC111838228	XM_023801001.1
usp9x	XM_023801002.1
usp9x	XM_023801003.1
usp9x	XM_023801004.1
usp9x	XM_023801005.1
usp9x	XM_023801006.1
LOC111838231	XM_023801007.1
LOC111838231	XM_023801008.1
LOC111838232	XM_023801009.1
LOC111838230	XM_023801010.1
LOC111838233	XM_023801011.1
LOC111838233	XM_023801012.1
LOC111838233	XM_023801013.1
LOC111838233	XM_023801014.1
LOC111838233	XM_023801015.1
shox	XM_023801016.1
LOC111838235	XM_023801017.1
LOC111838235	XM_023801018.1
LOC111838230	XM_023801019.1
LOC111838235	XM_023801020.1
LOC111838235	XM_023801021.1
LOC111838235	XM_023801022.1
LOC111838235	XM_023801023.1
LOC111838235	XM_023801024.1
LOC111838238	XM_023801025.1
LOC111838238	XM_023801026.1
LOC111838230	XM_023801027.1
tbc1d23	XM_023801028.1
tbc1d23	XM_023801029.1
gtpbp6	XM_023801030.1
gtpbp6	XM_023801031.1
LOC111838241	XM_023801032.1
LOC111838241	XM_023801033.1
LOC111838241	XM_023801034.1
LOC111838242	XM_023801035.1
LOC111838242	XM_023801036.1
LOC111838242	XM_023801037.1
rgn	XM_023801038.1
nit2	XM_023801039.1
LOC111838243	XM_023801040.1
nit2	XM_023801041.1
LOC111838247	XM_023801042.1
LOC111838248	XM_023801043.1
LOC111838249	XM_023801044.1
LOC111838249	XM_023801045.1
LOC111838249	XM_023801046.1
LOC111838249	XM_023801047.1
phka2	XM_023801048.1
phka2	XM_023801049.1
phka2	XM_023801050.1
phka2	XM_023801051.1
LOC111838250	XM_023801052.1
phka2	XM_023801053.1
phka2	XM_023801054.1
phka2	XM_023801055.1
phka2	XM_023801056.1
phka2	XM_023801057.1
phka2	XM_023801058.1
phka2	XM_023801059.1
phka2	XM_023801060.1
phka2	XM_023801061.1
ap1s2	XM_023801062.1
ap1s2	XM_023801063.1
ap1s2	XM_023801064.1
ap1s2	XM_023801065.1
ap1s2	XM_023801066.1
ap1s2	XM_023801067.1
LOC111838254	XM_023801068.1
LOC111838254	XM_023801069.1
grpr	XM_023801070.1
LOC111838257	XM_023801071.1
LOC111838257	XM_023801072.1
LOC111838257	XM_023801073.1
LOC111838257	XM_023801074.1
LOC111838257	XM_023801075.1
LOC111838257	XM_023801076.1
LOC111838260	XM_023801077.1
LOC111838258	XM_023801078.1
LOC111838261	XM_023801079.1
LOC111838261	XM_023801080.1
tubgcp5	XM_023801081.1
tubgcp5	XM_023801082.1
tubgcp5	XM_023801083.1
nhs	XM_023801084.1
nhs	XM_023801085.1
nhs	XM_023801086.1
LOC111838258	XM_023801087.1
nhs	XM_023801088.1
nhs	XM_023801089.1
LOC111838264	XM_023801090.1
LOC111838264	XM_023801091.1
samsn1	XM_023801092.1
samsn1	XM_023801093.1
hspa13	XM_023801094.1
LOC111838271	XM_023801095.1
LOC111838271	XM_023801096.1
LOC111838271	XM_023801097.1
nkx6-3	XM_023801098.1
LOC111838271	XM_023801099.1
LOC111838271	XM_023801100.1
LOC111838271	XM_023801101.1
LOC111838272	XM_023801102.1
LOC111838273	XM_023801103.1
LOC111838273	XM_023801104.1
nkx6-3	XM_023801105.1
LOC111838274	XM_023801106.1
LOC111838274	XM_023801107.1
LOC111838274	XM_023801108.1
LOC111838275	XM_023801109.1
LOC111838275	XM_023801110.1
LOC111838276	XM_023801111.1
LOC111838277	XM_023801112.1
LOC111838278	XM_023801113.1
nkx6-3	XM_023801114.1
LOC111838279	XM_023801115.1
LOC111838279	XM_023801116.1
LOC111838279	XM_023801117.1
LOC111838283	XM_023801118.1
LOC111838288	XM_023801119.1
gldc	XM_023801120.1
LOC111838289	XM_023801121.1
LOC111838289	XM_023801122.1
LOC111838289	XM_023801123.1
LOC111838289	XM_023801124.1
LOC111838289	XM_023801125.1
LOC111838289	XM_023801126.1
LOC111838290	XM_023801127.1
ccdc137	XM_023801128.1
LOC111838294	XM_023801129.1
LOC111838294	XM_023801130.1
LOC111838291	XM_023801131.1
hpn	XM_023801132.1
hpn	XM_023801133.1
LOC111838296	XM_023801134.1
LOC111838297	XM_023801135.1
LOC111838297	XM_023801136.1
LOC111838298	XM_023801137.1
LOC111838291	XM_023801138.1
LOC111838299	XM_023801139.1
LOC111838299	XM_023801140.1
LOC111838299	XM_023801141.1
LOC111838300	XM_023801142.1
LOC111838300	XM_023801143.1
LOC111838302	XM_023801144.1
LOC111838303	XM_023801145.1
LOC111838305	XM_023801146.1
thap7	XM_023801147.1
LOC111838304	XM_023801148.1
thap7	XM_023801149.1
LOC111838308	XM_023801150.1
LOC111838308	XM_023801151.1
LOC111838308	XM_023801152.1
LOC111838308	XM_023801153.1
LOC111838308	XM_023801154.1
LOC111838309	XM_023801155.1
LOC111838310	XM_023801156.1
LOC111838311	XM_023801157.1
LOC111838313	XM_023801158.1
LOC111838314	XM_023801159.1
LOC111838315	XM_023801160.1
LOC111838312	XM_023801161.1
LOC111838316	XM_023801162.1
LOC111838317	XM_023801163.1
LOC111838318	XM_023801164.1
LOC111838318	XM_023801165.1
LOC111838318	XM_023801166.1
LOC111838319	XM_023801167.1
LOC111838319	XM_023801168.1
LOC111838320	XM_023801169.1
LOC111838320	XM_023801170.1
LOC111838320	XM_023801171.1
LOC111838322	XM_023801172.1
LOC111838321	XM_023801173.1
LOC111838323	XM_023801174.1
LOC111838323	XM_023801175.1
LOC111838324	XM_023801176.1
LOC111838329	XM_023801177.1
LOC111838321	XM_023801178.1
plekha6	XM_023801179.1
plekha6	XM_023801180.1
LOC111838332	XM_023801181.1
gpatch4	XM_023801182.1
gpatch4	XM_023801183.1
gpatch4	XM_023801184.1
LOC111838334	XM_023801185.1
nes	XM_023801186.1
LOC111838336	XM_023801187.1
nudt17	XM_023801188.1
nudt17	XM_023801189.1
LOC111838339	XM_023801190.1
LOC111838340	XM_023801191.1
LOC111838340	XM_023801192.1
polr3d	XM_023801193.1
tmem79	XM_023801194.1
ecm1	XM_023801195.1
mef2d	XM_023801196.1
mef2d	XM_023801197.1
mef2d	XM_023801198.1
mef2d	XM_023801199.1
mef2d	XM_023801200.1
mef2d	XM_023801201.1
mef2d	XM_023801202.1
tor2a	XM_023801203.1
lamtor2	XM_023801204.1
LOC111838348	XM_023801205.1
LOC111838348	XM_023801206.1
LOC111838349	XM_023801207.1
LOC111838349	XM_023801208.1
LOC111838350	XM_023801209.1
LOC111838350	XM_023801210.1
LOC111838350	XM_023801211.1
LOC111838350	XM_023801212.1
dcst2	XM_023801213.1
dcst2	XM_023801214.1
dcst2	XM_023801215.1
dcst2	XM_023801216.1
LOC111838351	XM_023801217.1
dcst2	XM_023801218.1
dcst2	XM_023801219.1
dcst2	XM_023801220.1
dcst2	XM_023801221.1
dcst2	XM_023801222.1
dcst1	XM_023801223.1
dcst1	XM_023801224.1
dcst1	XM_023801225.1
dcst1	XM_023801226.1
dcst1	XM_023801227.1
dcst1	XM_023801228.1
dcst1	XM_023801229.1
LOC111838356	XM_023801230.1
LOC111838355	XM_023801231.1
LOC111838357	XM_023801232.1
bola1	XM_023801233.1
bola1	XM_023801234.1
ankrd34a	XM_023801235.1
LOC111838361	XM_023801236.1
LOC111838362	XM_023801237.1
LOC111838359	XM_023801238.1
LOC111838363	XM_023801239.1
LOC111838363	XM_023801240.1
LOC111838363	XM_023801241.1
LOC111838363	XM_023801242.1
LOC111838363	XM_023801243.1
LOC111838364	XM_023801244.1
crtc2	XM_023801245.1
crtc2	XM_023801246.1
crtc2	XM_023801247.1
crtc2	XM_023801248.1
crtc2	XM_023801249.1
crtc2	XM_023801250.1
coq2	XM_023801251.1
slc39a1	XM_023801252.1
slc39a1	XM_023801253.1
LOC111838368	XM_023801254.1
LOC111838369	XM_023801255.1
LOC111838369	XM_023801256.1
LOC111838369	XM_023801257.1
LOC111838369	XM_023801258.1
LOC111838370	XM_023801259.1
coq2	XM_023801260.1
LOC111838371	XM_023801261.1
LOC111838371	XM_023801262.1
LOC111838373	XM_023801263.1
LOC111838373	XM_023801264.1
LOC111838373	XM_023801265.1
LOC111838374	XM_023801266.1
LOC111838374	XM_023801267.1
coq2	XM_023801268.1
LOC111838374	XM_023801269.1
LOC111838374	XM_023801270.1
LOC111838375	XM_023801271.1
LOC111838376	XM_023801272.1
LOC111838376	XM_023801273.1
hormad1	XM_023801274.1
hormad1	XM_023801275.1
hormad1	XM_023801276.1
hormad1	XM_023801277.1
hormad1	XM_023801278.1
hormad1	XM_023801279.1
hormad1	XM_023801280.1
hormad1	XM_023801281.1
LOC111838379	XM_023801282.1
hormad1	XM_023801283.1
LOC111838380	XM_023801284.1
LOC111838381	XM_023801285.1
LOC111838382	XM_023801286.1
LOC111838382	XM_023801287.1
LOC111838382	XM_023801288.1
LOC111838383	XM_023801289.1
LOC111838379	XM_023801290.1
LOC111838384	XM_023801291.1
LOC111838384	XM_023801292.1
LOC111838385	XM_023801293.1
LOC111838385	XM_023801294.1
LOC111838385	XM_023801295.1
LOC111838385	XM_023801296.1
LOC111838385	XM_023801297.1
LOC111838386	XM_023801298.1
LOC111838386	XM_023801299.1
LOC111838379	XM_023801300.1
LOC111838388	XM_023801301.1
LOC111838388	XM_023801302.1
LOC111838389	XM_023801303.1
LOC111838389	XM_023801304.1
LOC111838389	XM_023801305.1
dennd4b	XM_023801306.1
dennd4b	XM_023801307.1
dennd4b	XM_023801308.1
LOC111838379	XM_023801309.1
dennd4b	XM_023801310.1
dennd4b	XM_023801311.1
dennd4b	XM_023801312.1
LOC111838391	XM_023801313.1
scnm1	XM_023801314.1
lysmd1	XM_023801315.1
LOC111838394	XM_023801316.1
LOC111838395	XM_023801317.1
LOC111838379	XM_023801318.1
LOC111838395	XM_023801319.1
LOC111838395	XM_023801320.1
LOC111838395	XM_023801321.1
LOC111838395	XM_023801322.1
LOC111838395	XM_023801323.1
LOC111838395	XM_023801324.1
LOC111838395	XM_023801325.1
LOC111838396	XM_023801326.1
LOC111838396	XM_023801327.1
LOC111838379	XM_023801328.1
LOC111838396	XM_023801329.1
LOC111838397	XM_023801330.1
LOC111838397	XM_023801331.1
iqgap3	XM_023801332.1
iqgap3	XM_023801333.1
LOC111838400	XM_023801334.1
LOC111838400	XM_023801335.1
